Site_ID,Data_set_ID,UWI,NAD83_Lat,NAD83_Long,Date_samp,Grnd_elev,KB_elev,Top_rel_sea,Bot_rel_sea,Top_rel_dep,Bot_rel_dep,Culled,Cat_an_bal,Lithium,Form_name
105728,AGSWDB,00/10-20-070-13W4-0,55.077675,-111.945454,n/a,589.5,592.2,138.7,122.2,453.5,470,Yes,0.077809,5,Mannville Group
105775,AGSWDB,00/07-09-070-17W4-0,55.042318,-112.529196,n/a,542.8,545.3,74.4,66.5,470.9,478.8,Yes,0.017173,5.3,Woodbend Group
105803,AGSWDB,00/07-02-070-21W4-0,55.028027,-113.09393,n/a,645.6,648.9,232.8,224.3,416.1,424.6,Yes,0.059543,3.8,Mannville Group
105823,AGSWDB,00/06-10-070-22W4-0,55.043615,-113.277314,n/a,667.5,671.5,66.2,55.8,605.3,615.7,Yes,0.009364,7.5,Mannville Group
106,ARC,00/09-17-001-08W4-0,49.729437,-113.143137,27-Jun-77,945.1,n/a,896.4,890.3,48.8,54.9,No,0.018798,<0.1,n/a
106206,AGSWDB,00/04-12-070-18W5-0,55.042064,-116.616461,n/a,865,869,-1842.8,-1846.2,2711.8,2715.2,Yes,-0.005881,32,Beaverhill Lake Formation
1064516834,BRB,n/a,54.698726,-110.727578,12-May-00,634.3,n/a,521.7,518.5,n/a,n/a,No,n/a,0.055,n/a
1064516834,BRB,n/a,54.698726,-110.727578,14-Apr-03,634.3,n/a,521.7,518.5,n/a,n/a,No,n/a,0.055,n/a
1064516834,BRB,n/a,54.698726,-110.727578,15-May-99,634.3,n/a,521.7,518.5,n/a,n/a,No,n/a,0.065,n/a
1064516834,BRB,n/a,54.698726,-110.727578,19-Jul-02,634.3,n/a,521.7,518.5,n/a,n/a,No,n/a,0.065,n/a
1065044973,BRB,n/a,55.073235,-110.536422,09-Oct-02,672.2,n/a,611.2,601.5,n/a,n/a,No,n/a,0.039,n/a
1065044973,BRB,n/a,55.073235,-110.536422,18-Aug-99,672.2,n/a,611.2,601.5,n/a,n/a,No,n/a,0.057,n/a
1065044973,BRB,n/a,55.073235,-110.536422,21-May-00,672.2,n/a,611.2,601.5,n/a,n/a,No,n/a,0.045,n/a
1065044973,BRB,n/a,55.073235,-110.536422,30-Aug-00,672.2,n/a,611.2,601.5,n/a,n/a,No,n/a,0.045,n/a
106548,AGSWDB,00/10-10-071-15W4-0,55.136767,-112.220461,n/a,620.6,623.3,141.7,125.6,481.6,497.7,Yes,0.163966,3.3,n/a
106712,AGSWDB,00/10-31-071-02W5-0,55.194969,-114.291975,n/a,606.9,610.8,169.5,160.3,441.4,450.5,Yes,0.026351,2.2,n/a
1067551077,BRB,n/a,55.073235,-110.530061,17-Dec-02,673.5,n/a,603.5,600.5,n/a,n/a,No,n/a,0.026,n/a
1067551077,BRB,n/a,55.073235,-110.530061,18-Feb-03,673.5,n/a,603.5,600.5,n/a,n/a,No,n/a,0.036,n/a
106800,AGSWDB,02/06-22-071-04W5-0,55.161081,-114.530015,n/a,678.8,683.1,219.8,181.1,463.3,502,Yes,0.010473,3.3,Viking Formation
106800,AGSWDB,02/06-22-071-04W5-0,55.161081,-114.530015,n/a,678.8,683.1,174.7,152.7,508.4,530.4,No,0.050266,3.7,Viking Formation
106804,AGSWDB,00/10-23-071-04W5-0,55.164263,-114.497806,n/a,670,674.2,-42.1,-48.2,716.3,722.4,Yes,0.014491,5.3,Mannville Group
1068822791,BRB,n/a,54.698765,-110.683443,14-Apr-03,638.8,n/a,516.3,507.1,n/a,n/a,No,n/a,0.04,n/a
1068822791,BRB,n/a,54.698765,-110.683443,17-May-99,638.8,n/a,516.3,507.1,n/a,n/a,No,n/a,0.058,n/a
1068822791,BRB,n/a,54.698765,-110.683443,18-Jul-02,638.8,n/a,516.3,507.1,n/a,n/a,No,n/a,0.055,n/a
107,ARC,00/11-17-001-08W4-0,49.144634,-113.783457,28-Jun-77,1311,n/a,1311,1306.1,0,4.9,No,0.037335,<0.1,n/a
107002,AGSWDB,00/06-20-071-20W5-0,55.160695,-117.045326,n/a,679.1,683.1,-193.2,-202.3,876.3,885.4,Yes,-0.008368,6.4,n/a
107009,AGSWDB,00/06-26-071-21W5-0,55.175205,-117.120948,n/a,654.4,658.7,-651.9,-661.1,1310.6,1319.8,No,-0.013727,55,Nordegg Member
107009,AGSWDB,00/06-26-071-21W5-0,55.175205,-117.120948,n/a,654.4,658.7,-734.2,-749.2,1392.9,1407.9,Yes,-0.035177,32,n/a
107136,AGSWDB,00/11-16-071-12W6-0,55.151556,-119.786852,n/a,828.8,833.3,-1013.8,-1041.2,1847.1,1874.5,Yes,-0.006876,4.5,n/a
1072570560,BRB,n/a,55.076851,-110.549133,05-Nov-01,669.5,n/a,659,655.9,n/a,n/a,No,n/a,0.019,n/a
1072570560,BRB,n/a,55.076851,-110.549133,07-Aug-02,669.5,n/a,659,655.9,n/a,n/a,No,n/a,0.014,n/a
1072570560,BRB,n/a,55.076851,-110.549133,09-May-02,669.5,n/a,659,655.9,n/a,n/a,No,n/a,0.02,n/a
1072570560,BRB,n/a,55.076851,-110.549133,13-Sep-01,669.5,n/a,659,655.9,n/a,n/a,No,n/a,0.017,n/a
1072570560,BRB,n/a,55.076851,-110.549133,18-Feb-03,669.5,n/a,659,655.9,n/a,n/a,No,n/a,0.01,n/a
1072570560,BRB,n/a,55.076851,-110.549133,28-Sep-01,669.5,n/a,659,655.9,n/a,n/a,No,n/a,0.02,n/a
-1072654590,BRB,n/a,54.698726,-110.727578,03-Oct-02,635,n/a,633.9,629.8,n/a,n/a,No,n/a,0.033,n/a
107292,AGSWDB,00/10-20-072-14W4-0,55.252563,-112.115804,n/a,605.3,608.4,215.2,204.5,393.2,403.9,Yes,0.09267,2.7,Mannville Group
107325,AGSWDB,00/07-07-072-16W4-0,55.218233,-112.450457,n/a,594.4,596.8,353.6,351.7,243.2,245.1,Yes,0.04484,2.6,Viking Formation
107357,AGSWDB,00/11-30-072-17W4-0,55.268048,-112.614106,n/a,582.5,585.2,293.2,275.5,292,309.7,Yes,0.028776,0.8,Mannville Group
107398,AGSWDB,00/11-16-072-23W4-0,55.237303,-113.48609,n/a,640.1,643.4,247.8,225.8,395.6,417.6,Yes,-0.022697,2,Mannville Group
107406,AGSWDB,00/10-33-072-23W4-0,55.28181,-113.47684,n/a,670.3,673.3,240.5,233.8,432.8,439.5,Yes,0.096485,3,Mannville Group
107699,AGSWDB,00/10-23-072-03W6-0,55.253373,-118.341583,n/a,642.8,648.7,-2101.3,-2116.3,2750,2765,Yes,-0.325196,<0.02,Wabamun Group
108,ARC,00/11-17-001-08W4-2,49.46307,-111.510929,24-Jun-77,893.3,n/a,668.4,662.3,224.9,231,Yes,0.053723,<0.1,Milk River Formation
108388,AGSWDB,00/04-10-073-23W5-0,55.304199,-117.458883,n/a,785.2,789.4,248.4,-671.5,541,1460.9,Yes,0.024883,15,n/a
108557,AGSWDB,00/07-33-073-10W6-0,55.364445,-119.469434,n/a,758,762.3,-580.3,-598.6,1342.6,1360.9,Yes,0.035212,2.7,n/a
