UWI	Licence_no	SH_lat_NAD83	SH_long_NAD83	BH_lat_NAD83	BH_long_NAD83	KB_El_masl28	Total_depth_m	Smpl_date	Smpl_obs_no	Top_MD_m	Base_MD_m	Smpl_point	Date_analyz	H2S_conc	Publisher
102130106804W600	470442	54.845602	-118.456164	54.862239	-118.478672	746.7	4544	11/27/2014	1	2722.51	4544	Meter Run	2014-12-04	0	Alberta Geological Survey
103132106304W600	470472	54.472249	-118.529345	54.469264	-118.551485	928.4	4570	10/9/2015	1	3141.1	4570	Meter Run	2015-10-17	0.0001	Alberta Geological Survey
103132106304W600	470472	54.472249	-118.529345	54.469264	-118.551485	928.4	4570	5/4/2016	1	3141.1	4570	Other	2016-05-12	0.0001	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	3/3/2016	1	3210	6209	Meter Run	2016-03-14	0	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	4/5/2016	1	3210	6209	Meter Run	2016-04-21	0	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	5/5/2016	1	3210	6209	Meter Run	2016-05-10	0	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	6/6/2016	1	3210	6209	Meter Run	2016-06-10	0	Alberta Geological Survey
104151206405W600	474597	54.507225	-118.582795	54.529197	-118.615035	941	6209	12/13/2016	1	3210	6209	Meter Run	2016-12-27	0	Alberta Geological Survey
100022007007W602	476845	55.049424	-119.025289	55.070404	-119.026457	684.6	4660	1/22/2016	1	684.6	2586.5	Meter Run	2016-01-23	0.0547	Alberta Geological Survey
103141606405W600	476910	54.524325	-118.664947	54.543306	-118.697553	932.2	6050	5/18/2017	1	3229.5	6020.9	First Stage Separator	2017-05-25	0	Alberta Geological Survey
103141606405W600	476910	54.524325	-118.664947	54.543306	-118.697553	932.2	6050	10/17/2017	1	3229.5	6020.9	First Stage Separator	2017-10-19	0	Alberta Geological Survey
100051307210W600	476916	55.218948	-119.373881	55.234175	-119.408311	759.4	5270	5/23/2018	1	3031.9	5008.8	Meter Run	2018-05-23	0.0455	Alberta Geological Survey
100121307210W600	476917	55.218948	-119.373724	55.236930	-119.406672	759.2	5270	5/23/2018	1	3033.5	4631.5	Meter Run	2018-05-23	0.0448	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	9/12/2016	1	3119	6192	Meter Run	2016-09-22	0.0003	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	10/25/2016	1	3119	6192	Meter Run	2016-10-28	0.0002	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	11/17/2016	1	3119	6192	Meter Run	2016-11-23	0.0001	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	12/13/2016	1	3119	6192	Meter Run	2016-12-22	0.0002	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	1/16/2017	1	3119	6192	First Stage Separator	2017-01-24	0.0002	Alberta Geological Survey
